id,fullname,address,phone_number,email,workplace,birthdate,registration_date,gender,income,expenses,credit,deposit
108,Иванна Игоревна Маркова,"ст. Бронницы, ул. Чернышевского, д. 1/5 к. 70, 492554",+7 (068) 151-9982,galaktion68@yahoo.com,"клх Воскресенск, ул. Дорожная, д. 712, 300130",1977-08-12,2017-07-17,F,,92183,False,True
109,Феврония Леоновна Суханова,"п. Соловки, наб. Приморская, д. 9 стр. 86, 346135",8 (856) 736-2088,averki1996@gmail.com,"к. Кырен, бул. Чехова, д. 2/3, 217303",1978-09-18,2019-02-28,F,,90899,False,False
110,Алла Олеговна Блинова,"с. Елец, ул. Вахитова, д. 9/9, 405114",+7 (750) 705-8870,zhanna2010@yahoo.com,"ст. Катайск, ул. Ленинградская, д. 7, 672494",1995-08-17,2015-04-01,F,,90917,False,True
111,Софон Эдгарович Савельев,"к. Катайск, пер. Торговый, д. 699 стр. 18, 361344",8 (230) 534-23-59,pantelemon_72@hotmail.com,"д. Плесецк, наб. Розы Люксембург, д. 8 к. 989, 909749",1969-07-11,2014-01-04,M,219908,60556,True,False
112,Тетерин Фрол Денисович,"д. Цимлянск, алл. Строительная, д. 97 к. 92, 039301",+7 228 041 0269,gordekostin@yandex.ru,"д. Камышин, бул. Дарвина, д. 347 к. 35, 249136",1981-06-25,2018-08-09,M,,85077,False,False
113,Лазарева Ия Альбертовна,"к. Александровск-Сахалинский, пр. Герцена, д. 7, 961980",+7 (177) 120-4522,zhanna_2017@rambler.ru,"клх Нижнеудинск, бул. 8 Марта, д. 84 стр. 7/8, 033412",2000-05-24,2015-10-05,F,289385,74717,True,True
114,Жуков Аскольд Иосифович,"г. Мытищи, наб. Лермонтова, д. 56, 566473",+7 282 504 2913,anna_72@yandex.ru,"п. Истра, пр. Вахитова, д. 91 стр. 8, 061050",1980-12-03,2019-03-08,M,,98473,False,True
115,Варвара Эльдаровна Якушева,"п. Обоянь, пр. Дорожников, д. 8/2 к. 31, 279545",8 119 639 0891,lidija2006@yahoo.com,"д. Орск, наб. Овражная, д. 99, 106687",1997-10-31,2014-09-12,F,120198,74219,True,True
116,Раиса Петровна Исаева,"ст. Урюпинск, ул. Крымская, д. 9/1 стр. 8/9, 713445",+7 (427) 472-4784,sigizmund1987@gmail.com,"к. Калач-на-Дону, ул. Новоселов, д. 1/5 стр. 9/8, 435057",1982-02-11,2014-02-27,F,131829,79301,True,True
117,Некрасов Назар Григорьевич,"п. Архыз, пер. Жданова, д. 8/3, 544131",8 127 706 64 30,teterinmihe@yahoo.com,"клх Курильск, пр. Краснофлотский, д. 7/7 к. 153, 364796",1975-11-16,2019-08-27,M,289593,88873,True,False
118,Эмилия Максимовна Родионова,"п. Хабаровск, наб. Магистральная, д. 378 стр. 72, 233445",+7 (643) 463-8325,gmolchanov@gmail.com,"г. Белоярский, пр. Сельский, д. 284 к. 9/7, 959070",1963-08-14,2016-11-07,F,,75373,False,True
119,Николаева Клавдия Руслановна,"с. Усинск, пр. Металлургов, д. 650, 875698",8 (578) 109-1402,innokenti50@gmail.com,"к. Сергиев Посад, пер. Буденного, д. 192, 107254",1978-03-05,2015-07-31,F,,82166,False,True
120,Синклитикия Робертовна Шилова,"ст. Змеиногорск, наб. Черноморская, д. 6/1 стр. 90, 354180",8 (458) 028-6468,evseevafekla@hotmail.com,"к. Долинск, бул. Специалистов, д. 4 к. 90, 202200",1985-04-10,2018-09-09,F,,97886,False,True
121,Кир Антипович Буров,"ст. Троицко-Печорск, алл. Цветочная, д. 85 к. 3, 223402",8 (159) 393-37-21,kudrjavtsevvarfolome@yahoo.com,"к. Верхний Баскунчак, пр. Кооперативный, д. 5/5 стр. 81, 512651",1980-10-12,2018-11-17,M,,88077,False,True
122,Анна Ждановна Шилова,"г. Красноуральск, бул. Южный, д. 6 к. 8/8, 506220",+7 (361) 616-1818,harlampi_2018@gmail.com,"ст. Хужир, пер. Рязанский, д. 6 к. 93, 943777",1992-06-17,2014-07-07,F,,101881,False,True
123,Турова Алевтина Максимовна,"ст. Белокуриха, пр. Тенистый, д. 823, 196070",86274440688,ustin40@gmail.com,"г. Шали, бул. Курчатова, д. 8/4 стр. 4/2, 663753",1962-04-05,2015-06-26,F,,77532,False,False
124,Антонина Дмитриевна Богданова,"с. Александровск, пр. Толбухина, д. 1 к. 97, 639312",+7 789 028 7572,rodionovpetr@yahoo.com,"к. Яхрома, бул. Поперечный, д. 8/3, 745413",1978-09-27,2012-10-04,F,248049,80547,True,False
125,Мартынов Арефий Денисович,"п. Аша, наб. Карьерная, д. 87, 969016",8 (999) 813-0812,vadimshestakov@rambler.ru,"д. Моздок, алл. Гончарова, д. 65 к. 55, 411725",1976-01-27,2015-03-05,M,,71160,False,False
126,Авдеев Сергей Демьянович,"клх Можайск, пр. Льва Толстого, д. 536 стр. 2/5, 522197",8 (347) 490-13-94,shilovagafon@yandex.ru,"клх Карабулак, алл. Металлистов, д. 496 стр. 876, 641424",1976-09-06,2019-05-22,M,139308,93045,True,False
127,Прасковья Николаевна Маслова,"к. Сасово, пр. Олимпийский, д. 379 к. 2/4, 339667",85893027605,valerija_1986@rambler.ru,"клх Верхотурье, пер. Киевский, д. 45 стр. 47, 341042",1990-12-12,2015-01-06,F,,79807,False,True
128,Абрамов Афанасий Арсеньевич,"п. Касимов, наб. Владимирская, д. 85 стр. 9, 880152",8 (893) 593-5006,rodion91@yahoo.com,"с. Барнаул, бул. Рыбацкий, д. 9, 245403",1975-11-13,2018-11-18,M,188947,73610,True,True
129,Большаков Эдуард Феликсович,"к. Витим, ш. Медицинское, д. 790, 807338",+75596472043,lsharapova@yahoo.com,"с. Темрюк, бул. Морской, д. 788 стр. 793, 907341",1991-03-05,2015-11-29,M,,76393,False,False
130,София Руслановна Сергеева,"д. Углич, пр. Юбилейный, д. 4 к. 34, 275714",8 (755) 798-2119,lukapahomov@yandex.ru,"д. Дивногорск, ш. Боровое, д. 97 к. 68, 272967",2000-07-07,2016-01-16,F,,111627,False,False
131,Эрнест Эдгардович Григорьев,"г. Партизанск, ул. Логовая, д. 1 к. 385, 991804",+7 273 276 79 54,hariton2010@mail.ru,"д. Тосно, бул. Трактовый, д. 3/6, 037586",1969-02-26,2014-09-26,M,,89232,False,False
132,Бобров Мстислав Матвеевич,"п. Мытищи, ул. Чапаева, д. 7 стр. 9, 614449",8 (837) 425-14-29,feoktist1975@yandex.ru,"г. Чикола, ш. Азина, д. 65, 782661",2000-08-09,2019-02-10,M,,71198,False,False
133,Валентина Леонидовна Капустина,"с. Тамбов, бул. Севастопольский, д. 508, 994163",8 (634) 899-47-58,ostap_2016@gmail.com,"с. Терскол, ш. Декабристов, д. 621 стр. 54, 448621",1972-12-23,2018-09-29,F,235622,67803,True,False
134,Калинина Жанна Романовна,"к. Петропавловск-Камчатский, пер. Свободный, д. 800 стр. 651, 148577",8 (642) 671-7105,julian84@rambler.ru,"п. Улан-Удэ, пер. Хуторской, д. 2/2 стр. 4/9, 470249",2000-03-13,2012-10-06,F,,94128,False,False
135,Милица Болеславовна Русакова,"с. Чегем, пр. Весенний, д. 26 стр. 668, 655515",+7 050 816 0745,ilja99@yahoo.com,"клх Баксан, ш. К.Маркса, д. 4, 258686",1969-05-18,2018-03-19,F,,77721,False,True
136,Элеонора Юрьевна Панова,"д. Кузнецк, пер. Подлесный, д. 181 стр. 96, 753901",+70078480409,zuevratmir@mail.ru,"д. Каневская, пер. Дружба, д. 5, 114797",1996-12-15,2019-09-05,F,,86286,False,True
137,Киселев Филимон Ярославович,"к. Шелехов, ул. Нахимова, д. 6 стр. 9/3, 976617",8 887 801 5765,nustinova@mail.ru,"д. Сасово, бул. Блюхера, д. 989 к. 65, 074495",1981-05-06,2015-03-13,M,,89960,False,False
138,Беспалов Денис Васильевич,"ст. Тында, бул. 30 лет Победы, д. 55 стр. 2/6, 155614",89275063939,anike1982@mail.ru,"г. Брянск, пер. Овражный, д. 5/1, 167881",1982-03-27,2017-08-14,M,,75504,False,False
139,Элеонора Владимировна Носкова,"д. Юровск, бул. Октябрьский, д. 121, 145648",88949775830,fadeevazoja@gmail.com,"п. Моршанск, пер. Шаумяна, д. 340 стр. 7/7, 413288",1989-12-12,2012-04-30,F,,98412,False,False
140,Орлов Евстафий Ерофеевич,"п. Зеленоград, пр. Орджоникидзе, д. 293 стр. 4/6, 287982",8 (714) 003-81-60,saveli_2014@yandex.ru,"к. Невьянск, ул. Ангарская, д. 39, 113535",1978-11-23,2012-04-21,M,,65158,False,True
141,Татьяна Федоровна Васильева,"г. Батайск, ул. Репина, д. 6, 800085",8 (632) 471-39-66,tverdislavtsvetkov@yandex.ru,"с. Пинега, бул. Заречный, д. 9, 371053",1994-03-03,2012-11-02,F,,78332,False,True
142,тов. Корнилов Осип Арсенович,"клх Йошкар-Ола, пер. Водопроводный, д. 954 к. 58, 735079",8 042 855 7969,ljubov63@yahoo.com,"д. Павловская, пр. Гражданский, д. 2 к. 2, 341230",1963-10-03,2012-12-09,M,,94938,False,False
143,Якушева Кира Яковлевна,"с. Барнаул, пер. Ломоносова, д. 55, 533070",+7 249 497 75 98,avgust1990@mail.ru,"с. Тамбей, пер. Хуторской, д. 7/8 стр. 9/4, 940442",1997-08-14,2017-06-08,F,,75332,False,True
144,Наина Тимофеевна Горбачева,"с. Кировск (Ленин.), бул. Выгонный, д. 39 стр. 67, 871244",+7 196 362 4570,vladlen2011@gmail.com,"г. Рязань, ш. Макаренко, д. 5, 503925",1988-12-18,2014-11-17,F,,79920,False,False
145,Лазарев Ян Гордеевич,"п. Белогорск (Амур.), бул. Новгородский, д. 710 к. 52, 500306",+7 857 161 62 18,konstantin_44@yahoo.com,"ст. Канск, ул. Некрасова, д. 5/5 к. 1, 973580",1989-01-19,2017-07-30,M,,102835,False,False
146,Шестаков Будимир Фадеевич,"г. Саров (Морд.), пр. Бабушкина, д. 99 к. 96, 704062",+7 279 258 5807,fominamaja@mail.ru,"п. Зарайск, ш. Февральское, д. 28, 118982",2001-12-20,2012-10-26,M,,101800,False,True
147,Селиверст Иосифович Потапов,"к. Меренга, алл. Степана Разина, д. 1/6, 188747",+7 026 263 3205,boleslav_27@mail.ru,"д. Магнитогорск, ул. Победа, д. 203 к. 69, 835080",1993-04-04,2012-01-30,M,,74610,False,True
148,Ковалев Феоктист Августович,"к. Железногорск(Курск.), бул. Бульварный, д. 5 к. 43, 415316",8 (621) 692-32-05,gmelnikov@yahoo.com,"г. Кудымкар, ш. Большое, д. 53, 593389",2002-03-28,2017-05-15,M,194425,78330,True,True
149,Ефрем Ильич Мясников,"к. Томари, наб. Ясная, д. 9 к. 98, 024646",8 (811) 480-3698,kkulagin@rambler.ru,"с. Дербент, бул. Прудный, д. 814 стр. 1/6, 018277",1976-12-28,2019-05-01,M,,89079,False,False
150,Лариса Мироновна Лапина,"г. Валдай, наб. Панфилова, д. 58, 340331",8 880 914 55 73,lapinamaja@rambler.ru,"к. Ряжск, ул. Азина, д. 88 стр. 14, 495641",1985-01-20,2018-04-16,F,,87623,False,True
151,Жанна Даниловна Харитонова,"к. Кирово-Чепецк, пр. Лесхозный, д. 10, 511611",8 579 722 8404,andreevajulija@yandex.ru,"д. Лысьва, пер. Ударный, д. 1/4, 910166",1982-02-03,2016-07-09,F,,64943,False,False
152,Молчанов Мир Фролович,"с. Партизанск, пер. Ольховый, д. 2 к. 9/5, 194419",+7 071 733 4452,alevtina_10@rambler.ru,"д. Туапсе, пер. Главный, д. 8 стр. 21, 624096",1999-10-21,2016-05-09,M,,93949,False,False
153,Любовь Егоровна Горбачева,"д. Кострома, наб. Фурманова, д. 6 к. 2, 270029",+7 (031) 176-5781,birjukovmstislav@hotmail.com,"д. Териберка, алл. Новгородская, д. 590 стр. 98, 833511",1970-05-09,2018-11-27,F,113295,67438,True,True
154,Иванна Вадимовна Сергеева,"д. Красноселькуп, пер. Щорса, д. 3/7, 600822",81365112607,suvorovasinklitikija@hotmail.com,"с. Усть-Илимск, пер. Солнечный, д. 3/7 к. 5, 804741",1996-02-01,2018-05-22,F,,78447,False,False
155,Федот Гавриилович Борисов,"с. Норильск, пр. Бажова, д. 4 стр. 326, 198306",+7 (120) 406-79-61,potapovemmanuil@yandex.ru,"с. Белокуриха, бул. Седова, д. 763, 222064",1972-04-11,2015-01-28,M,158477,97935,True,False
156,Дементьев Максим Терентьевич,"ст. Кузнецк, ш. Докучаева, д. 189, 980689",8 377 022 9491,kiselevaija@yandex.ru,"ст. Карабудахкент, пр. Амурский, д. 6/6 стр. 96, 402952",1980-12-11,2015-10-13,M,200013,93298,True,False
157,Кабанов Боян Архипович,"клх Горячинск, пер. 8 Марта, д. 4 стр. 22, 354030",+72749369106,fokinaalevtina@yahoo.com,"к. Яшкуль, наб. Нефтяников, д. 792 стр. 496, 143535",1987-08-25,2018-04-16,M,,95411,False,False
158,Устинов Дорофей Демьянович,"к. Оленек, пр. Томский, д. 896 стр. 56, 532158",87015894035,pantelemonkapustin@hotmail.com,"с. Ясный (Оренб.), ул. Краснодарская, д. 295 стр. 7, 919373",1990-11-16,2019-02-04,M,,74290,False,True
159,Антонова Евфросиния Леоновна,"д. Певек, бул. Есенина, д. 6, 452185",87109682696,gerasimovharlampi@yahoo.com,"клх Сасово, ул. Мусы Джалиля, д. 57 к. 5, 516549",1992-04-01,2016-11-19,F,,82248,False,False
160,Евпраксия Петровна Овчинникова,"п. Брянск, ул. Мирная, д. 79 к. 706, 549383",8 082 213 6854,hkudrjashov@mail.ru,"ст. Александров, пер. Краснопартизанский, д. 4/5, 115192",1979-05-16,2013-11-04,F,,84561,False,True
161,Лихачев Аркадий Евсеевич,"с. Дудинка, бул. Минина, д. 17 к. 2/8, 665277",82301268028,fadeevaemilija@yahoo.com,"д. Калязин, ш. Производственное, д. 550, 168638",1998-09-24,2013-08-16,M,,94538,False,False
162,Блохин Болеслав Феофанович,"г. Ноябрьск, пер. Орджоникидзе, д. 88 к. 2/6, 206706",8 733 308 0471,tkononova@gmail.com,"г. Торжок, ул. Пирогова, д. 73, 993987",1989-08-10,2017-03-04,M,,66895,False,False
163,Галкина Любовь Игоревна,"г. Волгодонск, ул. Рябиновая, д. 31 к. 9/6, 279913",80406795547,naina42@yandex.ru,"клх Можга, ул. Ильича, д. 2/6, 714662",1978-07-12,2016-03-30,F,,90101,False,False
164,Анисимов Парамон Арсеньевич,"д. Кизляр, ш. Красина, д. 6, 750819",8 (121) 670-81-69,demjantarasov@gmail.com,"клх Йошкар-Ола, бул. Партизанский, д. 7 к. 90, 572491",1991-10-28,2015-10-17,M,,107280,False,False
165,Любовь Геннадьевна Кулакова,"с. Самара, бул. Степной, д. 727 стр. 774, 613198",+76297245301,ruslan_88@yahoo.com,"д. Бронницы, наб. Медицинская, д. 5 стр. 59, 973534",1976-03-10,2013-06-09,F,298016,104132,True,False
166,Прасковья Эльдаровна Кабанова,"ст. Неплюевка, пер. Кольцевой, д. 96 к. 4, 358406",+7 (581) 203-97-36,gleb_2014@yahoo.com,"клх Тайшет, ул. Полтавская, д. 2/9, 016961",1979-03-20,2015-01-17,F,,103649,False,False
167,Волков Панфил Анатольевич,"к. Рязань, ш. Киевское, д. 9, 522799",83151294055,arkadiisaev@rambler.ru,"к. Быково (метеост.), пер. Фестивальный, д. 6/5 стр. 81, 040721",1995-06-06,2017-01-21,M,,95595,False,False
168,Богданова Таисия Макаровна,"г. Коломна, ул. Фрунзе, д. 3/6 к. 4, 524566",8 (884) 638-3820,gorde_73@yahoo.com,"к. Зеленоград, наб. Космодемьянской, д. 912 стр. 1/1, 142069",1963-06-29,2016-07-23,F,,66240,False,False
169,Исай Бориславович Блохин,"ст. Уренгой, алл. Димитрова, д. 45 к. 78, 871670",+7 788 373 09 20,bikovfoka@gmail.com,"д. Белый Яр (Томск.), ул. Горького, д. 64, 387100",1967-10-24,2012-08-13,M,,94546,False,False
170,Агафонова Евгения Натановна,"клх Моздок, пер. Щетинкина, д. 77 стр. 3/8, 599653",8 303 813 9372,varfolomesazonov@rambler.ru,"д. Каменск-Шахтинский, ул. Декабристов, д. 34 к. 6, 909423",1973-08-29,2018-01-17,F,,75714,False,True
171,Уваров Глеб Денисович,"с. Верхнее Пенжино, ул. Молодежная, д. 49 к. 7, 611510",88681821380,ratmir78@gmail.com,"д. Алапаевск, бул. Комсомольский, д. 9, 279537",1986-01-13,2017-09-24,M,,83523,False,False
172,Гришин Савелий Германович,"к. Петропавловск-Камчатский, пер. Павлова, д. 585, 992670",8 (362) 562-24-84,tihonovaraisa@hotmail.com,"ст. Новая Игирма, бул. Сахалинский, д. 1, 576233",1998-11-27,2016-07-01,M,,71354,False,True
173,Сидорова Регина Михайловна,"ст. Сосьва (Хант.), ул. Тракторная, д. 5 к. 5/6, 477064",+7 779 643 2700,fedoseevaskold@yahoo.com,"п. Слюдянка, бул. Ярославский, д. 89 стр. 24, 869674",1998-06-05,2013-11-30,F,,68234,False,True
174,Людмила Аскольдовна Меркушева,"клх Яшалта, ул. Королева, д. 41, 551079",+7 539 478 90 47,azari1989@yandex.ru,"к. Туапсе, ул. Каштановая, д. 6/7, 895208",1976-05-15,2013-07-25,F,,70082,False,True
175,Калинин Егор Витальевич,"д. Лабытнанги, пер. Санаторный, д. 2 к. 7/3, 937941",+7 (840) 656-4088,solomon75@gmail.com,"п. Киржач, пр. Механизаторов, д. 6/6 к. 6, 009503",2002-04-12,2012-03-06,M,,66287,False,True
176,Панкратий Эдгарович Лазарев,"к. Малоярославец, пр. Карла Либкнехта, д. 928 стр. 266, 750876",+70960923810,elizar_1996@mail.ru,"д. Верещагино (Перм.), наб. Пригородная, д. 679 к. 2, 646792",1974-07-14,2012-03-10,M,,72856,False,True
177,Комаров Евлампий Иосифович,"к. Муравленко, пр. Высотный, д. 7 стр. 354, 775343",+7 (699) 359-22-82,vladimirovsamuil@yandex.ru,"с. Буденновск, пр. Журавлева, д. 3/5 к. 630, 148374",1986-03-13,2018-05-17,M,182840,87530,True,True
178,Иванова Василиса Руслановна,"к. Курганинск, наб. Одесская, д. 828 стр. 4/3, 071888",8 (874) 307-53-77,tit2007@hotmail.com,"клх Луга, бул. Родниковый, д. 2, 510100",1978-12-07,2014-06-01,F,278110,79683,True,True
179,Калашникова Синклитикия Михайловна,"ст. Верещагино (Перм.), ул. Братская, д. 1/7 к. 80, 883204",88026666429,fomadementev@hotmail.com,"к. Орел, алл. Слободская, д. 46 стр. 97, 527995",1967-04-04,2017-01-21,F,252779,71271,True,False
180,Надежда Тимофеевна Дмитриева,"клх Буйнакск, ш. Тукая, д. 802 к. 15, 403451",8 728 676 61 45,popovamvrosi@hotmail.com,"д. Сибай, алл. Краснодарская, д. 1 стр. 42, 071649",1967-02-08,2012-11-15,F,,72796,False,False
181,Белова Виктория Даниловна,"п. Кизилюрт, ш. Ленинское, д. 9, 033341",8 368 525 04 01,ljubimkomarov@yandex.ru,"г. Андреаполь, ул. Трактовая, д. 4 стр. 53, 910128",2001-06-07,2012-05-04,F,247340,92651,True,False
182,Флорентин Елисеевич Русаков,"п. Звенигород, пр. Спартака, д. 2 стр. 757, 165673",+70194575496,antip41@rambler.ru,"с. Дно, пер. Макарова, д. 84 к. 6/9, 474973",1964-07-07,2013-03-07,M,,87720,False,True
183,Алексеева Мария Артемовна,"с. Мирный, алл. Депутатская, д. 249 стр. 8/8, 261179",+7 (846) 598-0447,ubirjukova@mail.ru,"к. Комсомольск-на-Амуре, наб. Ильича, д. 83 к. 65, 284497",2003-01-13,2014-09-19,F,,99399,False,False
184,Юлия Аркадьевна Блинова,"с. Тымовское, пр. Воронежский, д. 1/1 стр. 962, 119269",8 (613) 459-91-34,xkononova@mail.ru,"к. Кызыл, наб. Индустриальная, д. 1 к. 148, 549680",1996-07-30,2014-05-16,F,261302,77941,True,True
185,Лариса Кирилловна Лебедева,"с. Игнашино, наб. Осенняя, д. 5/5, 726288",8 276 619 26 18,kornil2020@gmail.com,"к. Сургут (Хант.), наб. Менделеева, д. 18 стр. 52, 153112",1974-09-28,2019-12-19,F,238426,89217,True,True
186,Виноградова Екатерина Эльдаровна,"клх Карабудахкент, пер. Окружной, д. 86 к. 9, 871322",+7 765 080 31 09,firs_1981@mail.ru,"п. Юрьевец (Иван.), ул. Курганная, д. 6 стр. 6/6, 109707",1964-04-05,2017-06-12,F,,82600,False,True
187,Лазарев Лонгин Иосипович,"клх Шенкурск, ул. Рылеева, д. 7/8, 304680",+7 (811) 128-02-88,pankrati_81@rambler.ru,"к. Шумиха, наб. Прохладная, д. 6/1 стр. 53, 415603",1988-05-11,2014-09-02,M,,76197,False,True
188,Ермаков Амвросий Фролович,"ст. Пинега, наб. Циолковского, д. 9, 932303",8 612 251 3972,antonin_23@hotmail.com,"с. Мончегорск, ул. Ленская, д. 8 к. 9/7, 444776",1963-11-14,2017-08-12,M,159136,93348,True,True
189,Журавлев Николай Филатович,"к. Лабинск, пер. Береговой, д. 685 стр. 73, 816585",8 264 367 9418,abramovanadezhda@yandex.ru,"д. Мичуринск, наб. Саратовская, д. 98 стр. 2, 041492",1995-03-03,2014-10-06,M,,86950,False,True
190,Маслов Антонин Дорофеевич,"ст. Южно-Сахалинск, алл. Железнодорожная, д. 8/8 к. 14, 780407",8 (991) 504-2953,potapovadarja@yandex.ru,"г. Курчатов, пр. Промышленный, д. 94 к. 781, 492730",1969-01-30,2018-02-02,M,121126,72272,True,False
191,Корнилова Антонина Максимовна,"с. Каменск-Уральский, наб. Мая 1, д. 7 к. 699, 481150",87754515061,lazar2019@gmail.com,"к. Тихорецк, ш. Щорса, д. 850 к. 9, 368139",1975-10-03,2018-12-30,F,,82796,False,True
192,Антонин Димитриевич Ефимов,"п. Хоста, бул. Буденного, д. 31, 584418",8 (421) 158-13-25,komissarovafevronija@yahoo.com,"ст. Кажим, ул. Иркутская, д. 4, 374365",1974-04-28,2015-12-15,M,234826,83931,True,True
193,Кузьмин Софрон Артурович,"к. Барнаул, пер. Береговой, д. 3/1 к. 8/2, 742568",+7 (843) 775-04-15,anatoli1980@hotmail.com,"ст. Партизанск, бул. Химиков, д. 93, 493621",1969-02-08,2017-03-31,M,109891,70357,True,False
194,Уварова Елена Эльдаровна,"д. Малоярославец, пр. Индустриальный, д. 8 к. 488, 531792",+7 224 020 81 12,kondrati_66@yahoo.com,"ст. Челябинск, бул. Гайдара, д. 7/4 к. 58, 292107",1963-06-30,2012-08-13,F,,85794,False,False
195,Агафонов Артемий Игнатьевич,"п. Хабаровск, ул. Октября, д. 1/7 стр. 6, 113340",8 (590) 166-94-10,ragafonov@mail.ru,"ст. Кировск (Мурм.), пр. Юности, д. 79, 585775",1998-06-25,2014-04-25,M,103173,73415,True,False
196,тов. Коновалова Любовь Рудольфовна,"ст. Кулунда, наб. Кошевого, д. 52 стр. 8/3, 244045",+71405634637,afanasevaninel@mail.ru,"к. Борзя, наб. Надежды, д. 77, 753573",1998-10-22,2017-05-25,F,,85995,False,True
197,Терентьева Алина Константиновна,"с. Майкоп, бул. 50 лет ВЛКСМ, д. 21 стр. 62, 257943",8 (863) 686-63-48,bnosov@yandex.ru,"ст. Петушки, пр. Широкий, д. 178 к. 28, 169010",1967-05-08,2014-12-04,F,245141,62460,True,True
198,Ларионов Артем Викторович,"к. Корсаков, наб. 40 лет Победы, д. 1, 842675",8 188 253 8822,braginkonon@hotmail.com,"п. Камень-на-Оби, пер. Буденного, д. 6, 413232",1991-12-19,2013-12-06,M,160725,86272,True,False
199,Орехова Лидия Рудольфовна,"д. Кош-Агач, пр. Ольховый, д. 7, 080881",85591364800,idementev@mail.ru,"к. Шадринск, наб. Водопроводная, д. 949 стр. 1, 230772",1962-08-20,2015-04-21,F,,59486,False,False
200,Фролов Изяслав Измаилович,"к. Сызрань, пер. Абрикосовый, д. 42 стр. 6/1, 268278",8 (121) 768-82-45,filipp_1975@mail.ru,"д. Ясный (Оренб.), алл. Абрикосовая, д. 2/2, 270210",1991-07-30,2017-08-08,M,,71117,False,False
